Variable ID,Variable name,Variable synonyms,Context of use,Growth stage,Variable status,Variable Xref,Institution,Scientist,Date,Language,Crop
CO_326:0000056,SNutGermPct_Comp_Pct,MAX_PERC,Characterization/evaluation: Germination,Seed bed,Standard COGENT,,CIRAD,HAMELIN C. https://orcid.org/0000-0001-7462-2345,44259,EN,Coconut
CO_326:0000335,FrSEndDryMt_Meas_Pct,S_E_DR_MAT,Characterization/evaluation: Fruit Component Analysis (FCA),Mature,Standard COGENT,,CIRAD,Baudouin https://orcid.org/https://orcid.org/0000-0003-2620-7125,44256,EN,Coconut
CO_326:0000338,FrSEndDryMt_CompM_Pct,S_E_DR_MAT,Characterization/evaluation: Fruit Component Analysis (FCA),Mature,Standard COGENT,,CIRAD,Baudouin https://orcid.org/https://orcid.org/0000-0003-2620-7125,44256,EN,Coconut
CO_326:0000340,FrSEndDryMt_CompSD_Pct,SD31,Characterization/evaluation: Fruit Component Analysis (FCA),Mature,Standard COGENT,,CIRAD,Baudouin https://orcid.org/https://orcid.org/0000-0003-2620-7125,44256,EN,Coconut
CO_326:0000342,FrDrySEndOil_Meas_Pct,DR_ME_OIL,Characterization/evaluation: Fruit Component Analysis (FCA),Mature,Standard COGENT,,CIRAD,Baudouin https://orcid.org/https://orcid.org/0000-0003-2620-7125,44256,EN,Coconut
CO_326:0000345,FrDrySEndOil_CompM_Pct,SD36,Characterization/evaluation: Fruit Component Analysis (FCA),Mature,Standard COGENT,,CIRAD,Baudouin https://orcid.org/https://orcid.org/0000-0003-2620-7125,44256,EN,Coconut
CO_326:0000347,FrDrySEndOil_CompSD_Pct,FR_ME_OIL,Characterization/evaluation: Fruit Component Analysis (FCA),Mature,Standard COGENT,,CIRAD,Baudouin https://orcid.org/https://orcid.org/0000-0003-2620-7125,44256,EN,Coconut
CO_326:0000349,FrSEndOil_Comp_Pct,FR_ME_OIL,Characterization/evaluation: Fruit Component Analysis (FCA),Mature,Standard COGENT,,CIRAD,Baudouin https://orcid.org/https://orcid.org/0000-0003-2620-7125,44256,EN,Coconut
CO_326:0000352,FrSEndOil_CompM_Pct,FR_ME_OIL,Characterization/evaluation: Fruit Component Analysis (FCA),Mature,Standard COGENT,,CIRAD,Baudouin https://orcid.org/https://orcid.org/0000-0003-2620-7125,44256,EN,Coconut
CO_326:0000354,FrSEndOil_CompSD_Pct,SD37,Characterization/evaluation: Fruit Component Analysis (FCA),Mature,Standard COGENT,,CIRAD,Baudouin https://orcid.org/https://orcid.org/0000-0003-2620-7125,44256,EN,Coconut
CO_326:0000356,FrHuskPct_Comp_Pct,,Characterization/evaluation: Fruit Component Analysis (FCA),Mature,Recommended,,CIRAD,Baudouin https://orcid.org/https://orcid.org/0000-0003-2620-7125,44256,EN,Coconut
CO_326:0000359,FrNutPct_Comp_Pct,,Characterization/evaluation: Fruit Component Analysis (FCA),Mature,Recommended,,CIRAD,Baudouin https://orcid.org/https://orcid.org/0000-0003-2620-7125,44256,EN,Coconut
CO_326:0000362,FrShellNPct_Comp_Pct,,Characterization/evaluation: Fruit Component Analysis (FCA),Mature,Recommended,,CIRAD,Baudouin https://orcid.org/https://orcid.org/0000-0003-2620-7125,44256,EN,Coconut
